Reading Airport file from airports.txt
There were 5740 Airports with IATA code
Reading Routes file from routes.txt
There were 68292 valid routes
There were 528 invalid routes

The epsilon is 1e-15 
The damping factor is 0.85 
The maximum number of iterations is 1000 

IATA	PageRank	Name
PFO 	0.00027845	Pafos Intl, Cyprus
XNN 	0.00027806	Xining Caojiabu Airport, China
COO 	0.00027718	Cadjehoun, Benin
BIL 	0.00027689	Billings Logan International Airport, United States
SVQ 	0.00027684	Sevilla, Spain
LJG 	0.00027681	Lijiang Airport, China
BRI 	0.00027648	Bari, Italy
GYN 	0.00027603	Santa Genoveva, Brazil
EBB 	0.00027501	Entebbe Intl, Uganda
BTH 	0.00027428	Hang Nadim, Indonesia
CIA 	0.00027380	Ciampino, Italy
AWZ 	0.00027312	Ahwaz, Iran
DJJ 	0.00027210	Sentani, Indonesia
ERS 	0.00026965	Eros Airport, Namibia
AJA 	0.00026838	Campo Dell Oro, France
MBJ 	0.00026727	Sangster Intl, Jamaica
ISA 	0.00026612	Mount Isa, Australia
JER 	0.00026605	Jersey, Jersey
GOT 	0.00026597	Landvetter, Sweden
KOI 	0.00026593	Kirkwall, United Kingdom
FLN 	0.00026585	Hercilio Luz, Brazil
BFS 	0.00026585	Belfast Intl, United Kingdom
ANU 	0.00026565	V C Bird Intl, Antigua and Barbuda
HRE 	0.00026537	Harare Intl, Zimbabwe
UNK 	0.00026536	Unalakleet Airport, United States
FRU 	0.00026474	Manas, Kyrgyzstan
EVN 	0.00026452	Zvartnots, Armenia
JAX 	0.00026175	Jacksonville Intl, United States
MDE 	0.00026096	Jose Maria Cordova, Colombia
OUA 	0.00025973	Ouagadougou, Burkina Faso
MED 	0.00025945	Prince Mohammad Bin Abdulaziz, Saudi Arabia
NUE 	0.00025880	Nurnberg, Germany
GDN 	0.00025866	Lech Walesa, Poland
ABZ 	0.00025802	Dyce, United Kingdom
CHQ 	0.00025667	Souda, Greece
BND 	0.00025467	Bandar Abbass Intl, Iran
SOU 	0.00025466	Southampton, United Kingdom
EOH 	0.00025454	Olaya Herrera, Colombia
SFJ 	0.00025356	Sondre Stromfjord, Greenland
SDF 	0.00025352	Louisville International Airport, United States
OKC 	0.00025340	Will Rogers World, United States
GUA 	0.00025306	La Aurora, Guatemala
IKT 	0.00025284	Irkutsk, Russia
WUX 	0.00025251	Wuxi Airport, China
MPM 	0.00025237	Maputo, Mozambique
PVH 	0.00025146	Governador Jorge Teixeira De Oliveira, Brazil
SSH 	0.00025096	Sharm El Sheikh Intl, Egypt
BRE 	0.00025024	Neuenland, Germany
PLU 	0.00024988	Pampulha Carlos Drummond De Andrade, Brazil
GAL 	0.00024852	Edward G Pitka Sr, United States
TRV 	0.00024461	Thiruvananthapuram Intl, India
VTE 	0.00024397	Wattay Intl, Laos
PVR 	0.00024380	Licenciado Gustavo Diaz Ordaz Intl, Mexico
BDL 	0.00024314	Bradley Intl, United States
RAB 	0.00024235	Tokua Airport, Papua New Guinea
ZAG 	0.00024226	Zagreb, Croatia
NYO 	0.00024163	Skavsta, Sweden
VIX 	0.00024089	Goiabeiras, Brazil
KUF 	0.00024068	Kurumoch, Russia
PLS 	0.00024020	Providenciales, Turks and Caicos Islands
KZN 	0.00024019	Kazan, Russia
CWL 	0.00024019	Cardiff, United Kingdom
PIE 	0.00023995	St Petersburg Clearwater Intl, United States
TRF 	0.00023935	Torp, Norway
HGU 	0.00023917	Mount Hagen, Papua New Guinea
UAK 	0.00023906	Narsarsuaq, Greenland
MDC 	0.00023902	Sam Ratulangi, Indonesia
BJV 	0.00023810	Bodrum - Milas, Turkey
KRR 	0.00023555	Pashkovskiy, Russia
FLR 	0.00023553	Firenze, Italy
REP 	0.00023539	Siem Reap, Cambodia
STM 	0.00023471	Santarem, Brazil
POS 	0.00023373	Piarco, Trinidad and Tobago
DUR 	0.00023356	Durban Intl, South Africa
RUN 	0.00023344	St Denis Gillot, Reunion
YYT 	0.00023321	St Johns Intl, Canada
BGI 	0.00023311	Grantley Adams Intl, Barbados
TSA 	0.00023304	Sungshan, Taiwan
YCB 	0.00023276	Cambridge Bay, Canada
DAD 	0.00023268	Danang Intl, Vietnam
CGR 	0.00023206	Campo Grande, Brazil
LAE 	0.00023177	Nadzab, Papua New Guinea
ORN 	0.00023115	Es Senia, Algeria
YKQ 	0.00023047	Waskaganish Airport, Canada
HLD 	0.00023020	Dongshan, China
FYU 	0.00022965	Fort Yukon, United States
TGU 	0.00022953	Toncontin Intl, Honduras
PRN 	0.00022948	Pristina, Serbia
MUA 	0.00022891	Munda Airport, Solomon Islands
RYG 	0.00022873	Moss, Norway
MDZ 	0.00022841	El Plumerillo, Argentina
RAO 	0.00022678	Leite Lopes, Brazil
PEW 	0.00022648	Peshawar Intl, Pakistan
YVQ 	0.00022606	Norman Wells, Canada
PDL 	0.00022581	Ponta Delgada, Portugal
LIF 	0.00022577	Lifou, New Caledonia
JRO 	0.00022557	Kilimanjaro Intl, Tanzania
BRW 	0.00022556	Wiley Post Will Rogers Mem, United States
AMQ 	0.00022520	Pattimura, Indonesia
JOG 	0.00022488	Adi Sutjipto, Indonesia
SRI 	0.00022468	Temindung, Indonesia
PNQ 	0.00022375	Pune, India
BLL 	0.00022362	Billund, Denmark
ADQ 	0.00022181	Kodiak, United States
PBI 	0.00022019	Palm Beach Intl, United States
SHJ 	0.00022017	Sharjah Intl, United Arab Emirates
JTR 	0.00021997	Santorini, Greece
NOU 	0.00021834	La Tontouta, New Caledonia
LBV 	0.00021800	Leon M Ba, Gabon
PNH 	0.00021776	Phnom Penh Intl, Cambodia
KGD 	0.00021674	Khrabrovo, Russia
RGI 	0.00021648	Rangiroa, French Polynesia
ZUH 	0.00021609	Zhuhai Airport, China
ARH 	0.00021519	Talagi, Russia
CCJ 	0.00021500	Calicut, India
UFA 	0.00021488	Ufa, Russia
BME 	0.00021417	Broome, Australia
BZV 	0.00021398	Maya Maya, Congo (Brazzaville)
BMA 	0.00021299	Bromma, Sweden
HMO 	0.00021295	General Ignacio P Garcia Intl, Mexico
TPS 	0.00021292	Trapani Birgi, Italy
NBE 	0.00021291	Enfidha - Zine El Abidine Ben Ali International Airport, Tunisia
